"Year","Murder.R","Rape.R","Robbery.R","Assault.R","Violent.R","Property.R","Murder.C","Rape.C","Robbery.C","Assault.C","Violent.C","Property.C"
1970,7.9,18.7,172.1,164.8,363.5,3621,0,0,0,0,0,0
1971,8.6,20.5,188,178.8,396,3768.8,0.0886075949367088,0.0962566844919786,0.0923881464264963,0.0849514563106796,0.0894085281980743,0.0408174537420603
1972,9,22.5,180.7,188.8,401,3560.4,0.139240506329114,0.203208556149733,0.0499709471237652,0.145631067961165,0.103163686382393,-0.0167357083678542
1973,9.4,24.5,183.1,200.5,417.4,3737,0.189873417721519,0.310160427807487,0.0639163277164439,0.216626213592233,0.14828060522696,0.032035349351008
1974,9.8,26.2,209.3,215.8,461.1,4389.3,0.240506329113924,0.401069518716578,0.21615339918652,0.309466019417476,0.268500687757909,0.212178956089478
1975,9.6,26.3,220.8,231.1,487.8,4810.7,0.215189873417721,0.406417112299465,0.282975014526438,0.402305825242718,0.341953232462173,0.328555647611157
1976,8.7,26.6,199.3,233.2,467.8,4819.5,0.10126582278481,0.422459893048128,0.158047646717025,0.41504854368932,0.286932599724897,0.330985915492958
1977,8.8,29.4,190.7,247,475.9,4601.7,0.113924050632911,0.572192513368984,0.10807669959326,0.49878640776699,0.309215955983494,0.270836785418393
1978,9,31,195.8,262.1,497.8,4642.5,0.139240506329114,0.657754010695187,0.137710633352702,0.590412621359223,0.369463548830812,0.282104391052196
1979,9.8,34.7,218.4,286,548.9,5016.6,0.240506329113924,0.855614973262032,0.26902963393376,0.735436893203883,0.510041265474553,0.385418392709196
1980,10.2,36.8,251.1,298.5,596.6,5353.3,0.291139240506329,0.967914438502674,0.459035444509006,0.81128640776699,0.641265474552957,0.478403755868545
1981,9.8,36,258.4,289.3,593.5,5256.5,0.240506329113924,0.925133689839572,0.501452643811737,0.755461165048544,0.63273727647868,0.451670809168738
1982,9.1,34,238.8,289,570.8,5029.7,0.151898734177215,0.818181818181818,0.387565368971528,0.753640776699029,0.570288858321871,0.389036177851422
1983,8.3,33.8,216.7,279.4,538.1,4641.1,0.0506329113924051,0.807486631016043,0.259151656013945,0.695388349514563,0.480330123796424,0.281717757525546
1984,7.9,35.7,205.7,290.6,539.9,4498.5,0,0.909090909090909,0.195235328297501,0.763349514563107,0.485281980742779,0.242336371168186
1985,8,36.8,209.3,304,558.1,4666.4,0.0126582278481012,0.967914438502674,0.21615339918652,0.844660194174757,0.5353507565337,0.288704777685722
1986,8.6,38.1,226,347.4,620.1,4881.8,0.0886075949367088,1.03743315508021,0.313190005810575,1.10800970873786,0.705914718019257,0.348191107428887
1987,8.3,37.6,213.7,352.9,612.5,4963,0.0506329113924051,1.01069518716578,0.241719930273097,1.14138349514563,0.685006877579092,0.370615851974593
1988,8.5,37.8,222.1,372.2,640.6,5054,0.0759493670886075,1.02139037433155,0.290528762347472,1.25849514563107,0.762310866574966,0.395747031206849
1989,8.7,38.3,234.3,385.6,666.9,5107.1,0.10126582278481,1.04812834224599,0.361417780360256,1.33980582524272,0.834662998624484,0.410411488539078
1990,9.4,41.1,256.3,422.9,729.6,5073.1,0.189873417721519,1.19786096256685,0.489250435793144,1.56614077669903,1.00715268225585,0.401021817177575
1991,9.8,42.3,272.7,433.4,758.2,5140.2,0.240506329113924,1.2620320855615,0.584543869843114,1.62985436893204,1.08583218707015,0.419552609776305
1992,9.3,42.8,263.7,441.9,757.7,4903.7,0.177215189873418,1.28877005347594,0.532248692620569,1.68143203883495,1.08445667125172,0.354239160452913
1993,9.5,41.1,256,440.5,747.1,4740,0.20253164556962,1.19786096256685,0.487507263219059,1.67293689320388,1.05529573590096,0.309030654515327
1994,9,39.3,237.8,427.6,713.6,4660.2,0.139240506329114,1.10160427807487,0.381754793724579,1.59466019417476,0.963136176066025,0.286992543496272
1995,8.2,37.1,220.9,418.3,684.5,4590.5,0.0379746835443037,0.983957219251337,0.283556072051133,1.53822815533981,0.883081155433287,0.267743717205192
1996,7.4,36.3,201.9,391,636.6,4451,-0.0632911392405063,0.941176470588235,0.173155142359094,1.37257281553398,0.75130674002751,0.229218447942557
1997,6.8,35.9,186.2,382.1,611,4316.3,-0.139240506329114,0.919786096256685,0.0819291109819872,1.31856796116505,0.680880330123796,0.192018779342723
1998,6.3,34.5,165.5,361.4,567.6,4052.5,-0.20253164556962,0.844919786096257,-0.0383497966298663,1.19296116504854,0.561485557083907,0.119165976249655
1999,5.7,32.8,150.1,334.3,523,3743.6,-0.278481012658228,0.754010695187166,-0.127832655432888,1.02851941747573,0.43878954607978,0.0338580502623584
2000,5.5,32,145,324,506.5,3618.3,-0.30379746835443,0.711229946524064,-0.15746658919233,0.966019417475728,0.393397524071527,-0.000745650372825136
2001,5.6,31.8,148.5,318.6,504.5,3658.1,-0.291139240506329,0.700534759358289,-0.137129575828007,0.933252427184466,0.387895460797799,0.0102457884562275
2002,5.6,33.1,146.1,309.5,494.4,3630.6,-0.291139240506329,0.770053475935829,-0.151074956420686,0.878033980582524,0.360110041265474,0.00265120132560064
2003,5.7,32.3,142.5,295.4,475.8,3591.2,-0.278481012658228,0.727272727272727,-0.171993027309704,0.79247572815534,0.308940852819807,-0.00822977078155211
2004,5.5,32.4,136.7,288.6,463.2,3514.1,-0.30379746835443,0.732620320855615,-0.20569436374201,0.75121359223301,0.274277854195323,-0.0295222314277824
2005,5.6,31.8,140.8,290.8,469,3431.5,-0.291139240506329,0.700534759358289,-0.181871005229518,0.764563106796116,0.290233837689133,-0.0523336095001381
2006,5.8,31.6,150,292,479.3,3346.6,-0.265822784810127,0.689839572192513,-0.128413712957583,0.771844660194175,0.318569463548831,-0.075780171223419
2007,5.7,30.6,148.3,287.2,471.8,3276.4,-0.278481012658228,0.636363636363636,-0.138291690877397,0.742718446601942,0.297936726272352,-0.0951670809168738
2008,5.4,29.8,145.9,277.5,458.6,3214.6,-0.316455696202532,0.593582887700535,-0.152237071470075,0.683859223300971,0.26162310866575,-0.112234189450428
2009,5,29.1,133.1,264.7,431.9,3041.3,-0.367088607594937,0.556149732620321,-0.226612434631028,0.606189320388349,0.188170563961485,-0.160093896713615
2010,4.8,27.7,119.3,252.8,404.5,2945.9,-0.392405063291139,0.481283422459893,-0.306798373038931,0.533980582524272,0.112792297111417,-0.186440209886772
2011,4.7,27,113.9,241.5,387.1,2905.4,-0.40506329113924,0.443850267379679,-0.338175479372458,0.465412621359223,0.0649243466299863,-0.197624965479149
2012,4.7,27.1,113.1,242.8,387.8,2868,-0.40506329113924,0.449197860962567,-0.342823939570017,0.473300970873786,0.066850068775791,-0.207953603976802
2013,4.5,25.9,109,229.6,369.1,2733.6,-0.430379746835443,0.385026737967914,-0.36664729808251,0.393203883495146,0.0154057771664375,-0.245070422535211
2014,4.4,26.6,101.3,229.2,361.6,2574.1,-0.443037974683544,0.422459893048128,-0.411388727484021,0.390776699029126,-0.0052269601100412,-0.289119027892847
2015,4.9,28.1,101.9,237.8,372.6,2487,-0.379746835443038,0.502673796791444,-0.407902382335851,0.442961165048544,0.0250343878954609,-0.313173156586578
